iter	Passed	Remaining
545	4178	3474
546	4188	3469
547	4197	3462
548	4206	3455
549	4220	3452
550	4228	3446
551	4239	3440
552	4250	3435
553	4258	3428
554	4269	3423
555	4277	3415
556	4286	3409
557	4295	3402
558	4301	3393
559	4307	3384
560	4313	3375
561	4319	3366
562	4325	3357
563	4331	3348
564	4338	3340
565	4348	3334
566	4354	3325
567	4360	3316
568	4368	3309
569	4375	3300
570	4380	3291
571	4386	3282
572	4392	3273
573	4398	3264
574	4404	3255
575	4409	3245
576	4415	3236
577	4421	3228
578	4427	3219
579	4433	3210
580	4440	3202
581	4446	3193
582	4452	3184
583	4458	3175
584	4463	3166
585	4469	3157
586	4475	3148
587	4481	3140
588	4487	3131
589	4492	3121
590	4498	3113
591	4505	3105
592	4512	3097
593	4520	3089
594	4526	3080
595	4531	3071
596	4542	3066
597	4550	3059
598	4561	3053
599	4570	3046
600	4578	3039
601	4590	3034
602	4600	3029
603	4611	3023
604	4624	3019
605	4637	3015
606	4649	3010
607	4662	3006
608	4674	3000
609	4682	2993
610	4691	2986
611	4699	2979
612	4707	2972
613	4716	2964
614	4724	2957
615	4735	2951
616	4741	2943
617	4751	2936
618	4757	2928
619	4768	2922
620	4775	2914
621	4787	2909
622	4795	2902
623	4804	2895
624	4813	2887
625	4821	2880
626	4830	2873
627	4838	2865
628	4848	2859
629	4855	2851
630	4866	2845
631	4872	2837
632	4884	2831
633	4892	2824
634	4902	2817
635	4909	2809
636	4915	2801
637	4921	2792
638	4926	2783
639	4932	2774
640	4938	2765
641	4943	2756
642	4949	2748
643	4955	2739
644	4961	2730
645	4967	2721
646	4973	2713
647	4979	2704
648	4985	2696
649	4991	2687
650	4997	2678
651	5003	2670
652	5009	2661
653	5015	2653
654	5021	2644
655	5027	2636
656	5033	2627
657	5041	2620
658	5046	2611
659	5053	2603
660	5058	2594
661	5064	2585
662	5070	2577
663	5075	2568
664	5081	2560
665	5088	2551
666	5094	2543
667	5099	2534
668	5104	2525
669	5110	2516
670	5116	2508
671	5122	2500
672	5127	2491
673	5137	2484
674	5148	2479
675	5158	2472
676	5164	2464
677	5170	2455
678	5176	2447
679	5181	2438
680	5187	2430
681	5193	2421
682	5198	2412
683	5204	2404
684	5210	2396
685	5220	2389
686	5226	2381
687	5233	2373
688	5239	2365
689	5245	2356
690	5251	2348
691	5257	2340
692	5262	2331
693	5268	2323
694	5274	2314
695	5281	2306
696	5287	2298
697	5292	2289
698	5299	2282
699	5306	2274
700	5316	2267
701	5322	2259
702	5328	2251
703	5335	2243
704	5341	2234
705	5346	2226
706	5352	2218
707	5358	2210
708	5365	2202
709	5371	2194
710	5377	2185
711	5383	2177
712	5389	2169
713	5394	2161
714	5400	2152
715	5407	2144
716	5415	2137
717	5420	2128
718	5426	2120
719	5432	2112
720	5438	2104
721	5443	2096
722	5449	2087
723	5454	2079
724	5460	2071
725	5466	2063
726	5472	2055
727	5478	2046
728	5484	2038
729	5490	2030
730	5496	2022
731	5501	2014
732	5509	2006
733	5515	1998
734	5521	1990
735	5527	1982
736	5533	1974
737	5539	1966
738	5545	1958
739	5550	1950
740	5556	1942
741	5562	1933
742	5568	1925
743	5586	1922
744	5594	1914
745	5599	1906
746	5605	1898
747	5611	1890
748	5617	1882
749	5622	1874
750	5628	1866
751	5636	1858
752	5649	1853
753	5660	1846
754	5666	1838
755	5672	1830
756	5678	1822
757	5684	1814
758	5689	1806
759	5695	1798
760	5701	1790
761	5707	1782
762	5715	1775
763	5721	1767
764	5727	1759
765	5733	1751
766	5739	1743
767	5745	1735
768	5751	1727
769	5757	1719
770	5762	1711
771	5770	1704
772	5777	1696
773	5783	1688
774	5789	1680
775	5795	1672
776	5801	1665
777	5807	1657
778	5813	1649
779	5818	1641
780	5824	1633
781	5830	1625
782	5835	1617
783	5842	1609
784	5848	1601
785	5853	1593
786	5863	1586
787	5869	1579
788	5875	1571
789	5880	1563
790	5886	1555
791	5892	1547
792	5898	1539
793	5903	1531
794	5910	1524
795	5916	1516
796	5923	1508
797	5929	1500
798	5935	1493
799	5941	1485
800	5948	1477
801	5953	1469
802	5963	1463
803	5969	1455
804	5976	1447
805	5983	1440
806	5989	1432
807	5995	1424
808	6000	1416
809	6006	1408
810	6011	1401
811	6017	1393
812	6023	1385
813	6029	1377
814	6034	1369
815	6040	1362
816	6046	1354
817	6052	1346
818	6058	1338
819	6063	1331
820	6070	1323
821	6076	1315
822	6081	1307
823	6087	1300
824	6093	1292
825	6098	1284
826	6104	1277
827	6110	1269
828	6116	1261
829	6122	1254
830	6128	1246
831	6133	1238
832	6139	1230
833	6145	1223
834	6150	1215
835	6160	1208
836	6173	1202
837	6182	1195
838	6189	1187
839	6198	1180
840	6203	1172
841	6209	1165
842	6215	1157
843	6220	1149
844	6226	1142
845	6232	1134
846	6238	1126
847	6244	1119
848	6250	1111
849	6256	1104
850	6262	1096
851	6268	1088
852	6274	1081
853	6279	1073
854	6290	1066
855	6296	1059
856	6301	1051
857	6307	1043
858	6313	1036
859	6319	1028
860	6325	1021
861	6331	1013
862	6337	1006
863	6343	998
864	6349	991
865	6355	983
866	6361	975
867	6367	968
868	6373	960
869	6379	953
870	6385	945
871	6391	938
872	6396	930
873	6402	923
874	6408	915
875	6415	908
876	6420	900
877	6426	892
878	6432	885
879	6437	877
880	6443	870
881	6448	862
882	6454	855
883	6460	847
884	6466	840
885	6472	832
886	6477	825
887	6483	817
888	6489	810
889	6495	802
890	6500	795
891	6506	787
892	6512	780
893	6517	772
894	6523	765
895	6529	757
896	6534	750
897	6540	742
898	6547	735
899	6553	728
900	6558	720
901	6564	713
902	6570	705
903	6576	698
904	6582	690
905	6588	683
906	6594	676
907	6600	668
908	6605	661
909	6611	653
910	6617	646
911	6623	639
912	6629	631
913	6634	624
914	6641	616
915	6647	609
916	6654	602
917	6666	595
918	6677	588
919	6682	581
920	6688	573
921	6693	566
922	6699	558
923	6705	551
924	6711	544
925	6716	536
926	6722	529
927	6727	521
928	6734	514
929	6739	507
930	6745	499
931	6750	492
932	6756	485
933	6762	477
934	6768	470
935	6773	463
936	6779	455
937	6785	448
938	6791	441
939	6798	433
940	6803	426
941	6809	419
942	6815	411
943	6821	404
944	6827	397
945	6835	390
946	6841	382
947	6847	375
948	6853	368
949	6859	361
950	6865	353
951	6871	346
952	6877	339
953	6882	331
954	6888	324
955	6894	317
956	6899	310
957	6905	302
958	6910	295
959	6916	288
960	6923	280
961	6929	273
962	6935	266
963	6940	259
964	6946	251
965	6952	244
966	6958	237
967	6964	230
968	6969	222
969	6976	215
970	6982	208
971	6988	201
972	6993	194
973	6999	186
974	7005	179
975	7011	172
976	7017	165
977	7022	157
978	7040	151
979	7045	143
980	7051	136
981	7057	129
982	7063	122
983	7068	114
984	7077	107
985	7083	100
986	7089	93
987	7095	86
988	7101	78
989	7107	71
990	7113	64
991	7118	57
992	7129	50
993	7135	43
994	7141	35
995	7147	28
996	7154	21
997	7166	14
998	7177	7
999	7185	0
